,Latitude,longitude,
1,89.28422753,0,
2,88.35700352,0.9375,
3,87.42430375,1.875,
4,86.49036677,2.8125,
5,85.55596048,3.75,
6,84.62132711,4.6875,
7,83.68656682,5.625,
8,82.75172847,6.5625,
9,81.81683873,7.5,
10,80.88191335,8.4375,
11,79.94696225,9.375,
12,79.01199198,10.3125,
13,78.07700705,11.25,
14,77.14201066,12.1875,
15,76.20700512,13.125,
16,75.27199218,14.0625,
17,74.33697317,15,
18,73.40194911,15.9375,
19,72.46692081,16.875,
20,71.53188891,17.8125,
21,70.59685394,18.75,
22,69.66181631,19.6875,
23,68.72677638,20.625,
24,67.79173443,21.5625,
25,66.85669072,22.5,
26,65.92164545,23.4375,
27,64.9865988,24.375,
28,64.05155091,25.3125,
29,63.11650191,26.25,
30,62.18145192,27.1875,
31,61.24640103,28.125,
32,60.31134933,29.0625,
33,59.3762969,30,
34,58.44124379,30.9375,
35,57.50619007,31.875,
36,56.57113579,32.8125,
37,55.636081,33.75,
38,54.70102573,34.6875,
39,53.76597003,35.625,
40,52.83091393,36.5625,
41,51.89585745,37.5,
42,50.96080063,38.4375,
43,50.02574349,39.375,
44,49.09068605,40.3125,
45,48.15562834,41.25,
46,47.22057036,42.1875,
47,46.28551215,43.125,
48,45.3504537,44.0625,
49,44.41539505,45,
50,43.4803362,45.9375,
51,42.54527717,46.875,
52,41.61021796,47.8125,
53,40.67515858,48.75,
54,39.74009906,49.6875,
55,38.80503939,50.625,
56,37.86997958,51.5625,
57,36.93491964,52.5,
58,35.99985958,53.4375,
59,35.06479941,54.375,
60,34.12973913,55.3125,
61,33.19467875,56.25,
62,32.25961827,57.1875,
63,31.3245577,58.125,
64,30.38949705,59.0625,
65,29.45443631,60,
66,28.5193755,60.9375,
67,27.58431461,61.875,
68,26.64925366,62.8125,
69,25.71419264,63.75,
70,24.77913156,64.6875,
71,23.84407042,65.625,
72,22.90900923,66.5625,
73,21.97394799,67.5,
74,21.0388867,68.4375,
75,20.10382536,69.375,
76,19.16876398,70.3125,
77,18.23370256,71.25,
78,17.29864111,72.1875,
79,16.36357961,73.125,
80,15.42851809,74.0625,
81,14.49345653,75,
82,13.55839495,75.9375,
83,12.62333334,76.875,
84,11.68827171,77.8125,
85,10.75321005,78.75,
86,9.818148372,79.6875,
87,8.883086676,80.625,
88,7.948024964,81.5625,
89,7.012963238,82.5,
90,6.077901499,83.4375,
91,5.142839748,84.375,
92,4.207777989,85.3125,
93,3.272716221,86.25,
94,2.337654448,87.1875,
95,1.40259267,88.125,
96,0.46753089,89.0625,
97,-0.46753089,90,
98,-1.40259267,90.9375,
99,-2.337654448,91.875,
100,-3.272716221,92.8125,
101,-4.207777989,93.75,
102,-5.142839748,94.6875,
103,-6.077901499,95.625,
104,-7.012963238,96.5625,
105,-7.948024964,97.5,
106,-8.883086676,98.4375,
107,-9.818148372,99.375,
108,-10.75321005,100.3125,
109,-11.68827171,101.25,
110,-12.62333334,102.1875,
111,-13.55839495,103.125,
112,-14.49345653,104.0625,
113,-15.42851809,105,
114,-16.36357961,105.9375,
115,-17.29864111,106.875,
116,-18.23370256,107.8125,
117,-19.16876398,108.75,
118,-20.10382536,109.6875,
119,-21.0388867,110.625,
120,-21.97394799,111.5625,
121,-22.90900923,112.5,
122,-23.84407042,113.4375,
123,-24.77913156,114.375,
124,-25.71419264,115.3125,
125,-26.64925366,116.25,
126,-27.58431461,117.1875,
127,-28.5193755,118.125,
128,-29.45443631,119.0625,
129,-30.38949705,120,
130,-31.3245577,120.9375,
131,-32.25961827,121.875,
132,-33.19467875,122.8125,
133,-34.12973913,123.75,
134,-35.06479941,124.6875,
135,-35.99985958,125.625,
136,-36.93491964,126.5625,
137,-37.86997958,127.5,
138,-38.80503939,128.4375,
139,-39.74009906,129.375,
140,-40.67515858,130.3125,
141,-41.61021796,131.25,
142,-42.54527717,132.1875,
143,-43.4803362,133.125,
144,-44.41539505,134.0625,
145,-45.3504537,135,
146,-46.28551215,135.9375,
147,-47.22057036,136.875,
148,-48.15562834,137.8125,
149,-49.09068605,138.75,
150,-50.02574349,139.6875,
151,-50.96080063,140.625,
152,-51.89585745,141.5625,
153,-52.83091393,142.5,
154,-53.76597003,143.4375,
155,-54.70102573,144.375,
156,-55.636081,145.3125,
157,-56.57113579,146.25,
158,-57.50619007,147.1875,
159,-58.44124379,148.125,
160,-59.3762969,149.0625,
161,-60.31134933,150,
162,-61.24640103,150.9375,
163,-62.18145192,151.875,
164,-63.11650191,152.8125,
165,-64.05155091,153.75,
166,-64.9865988,154.6875,
167,-65.92164545,155.625,
168,-66.85669072,156.5625,
169,-67.79173443,157.5,
170,-68.72677638,158.4375,
171,-69.66181631,159.375,
172,-70.59685394,160.3125,
173,-71.53188891,161.25,
174,-72.46692081,162.1875,
175,-73.40194911,163.125,
176,-74.33697317,164.0625,
177,-75.27199218,165,
178,-76.20700512,165.9375,
179,-77.14201066,166.875,
180,-78.07700705,167.8125,
181,-79.01199198,168.75,
182,-79.94696225,169.6875,
183,-80.88191335,170.625,
184,-81.81683873,171.5625,
185,-82.75172847,172.5,
186,-83.68656682,173.4375,
187,-84.62132711,174.375,
188,-85.55596048,175.3125,
189,-86.49036677,176.25,
